Compactness,SurfaceArea,WallArea,RoofArea,Orientation,GlazingArea,GlazingDist,HeatLoad
0.71,710.5,269.5,220.5,5,0.4,1,14.58
0.64,784.0,343.0,220.5,3,0.1,2,15.18
0.64,784.0,343.0,220.5,4,0.25,2,17.02
0.66,759.5,318.5,220.5,5,0.1,4,11.43
0.74,686.0,245.0,220.5,5,0.0,0,6.04
0.71,710.5,269.5,220.5,3,0.4,4,14.7
0.64,784.0,343.0,220.5,2,0.25,3,16.83
0.74,686.0,245.0,220.5,2,0.25,5,12.12
0.62,808.5,367.5,220.5,2,0.4,5,16.54
0.66,759.5,318.5,220.5,2,0.25,2,13.05
0.69,735.0,294.0,220.5,4,0.1,4,11.07
0.62,808.5,367.5,220.5,4,0.1,1,12.93
0.69,735.0,294.0,220.5,3,0.1,1,11.13
0.69,735.0,294.0,220.5,4,0.4,3,14.33
0.71,710.5,269.5,220.5,4,0.4,1,14.5
0.62,808.5,367.5,220.5,3,0.4,5,16.44
0.71,710.5,269.5,220.5,3,0.1,3,10.68
0.69,735.0,294.0,220.5,3,0.25,4,12.95
0.66,759.5,318.5,220.5,3,0.25,5,12.82
0.71,710.5,269.5,220.5,4,0.25,4,12.17
0.66,759.5,318.5,220.5,4,0.25,4,12.86
0.71,710.5,269.5,220.5,5,0.1,2,10.68
0.62,808.5,367.5,220.5,2,0.25,4,14.33
0.74,686.0,245.0,220.5,4,0.1,2,10.32
0.71,710.5,269.5,220.5,2,0.4,5,12.43
0.66,759.5,318.5,220.5,5,0.25,4,12.92
0.64,784.0,343.0,220.5,3,0.25,4,16.69
0.69,735.0,294.0,220.5,2,0.0,0,6.85
0.66,759.5,318.5,220.5,2,0.1,2,11.45
0.64,784.0,343.0,220.5,2,0.1,2,15.41
0.66,759.5,318.5,220.5,4,0.1,3,11.53
0.62,808.5,367.5,220.5,5,0.4,3,16.74
0.64,784.0,343.0,220.5,3,0.25,2,16.84
0.69,735.0,294.0,220.5,2,0.1,1,11.11
0.66,759.5,318.5,220.5,4,0.4,3,14.72
0.64,784.0,343.0,220.5,4,0.4,3,18.48
0.74,686.0,245.0,220.5,3,0.4,4,14.48
0.66,759.5,318.5,220.5,4,0.1,1,11.7
0.64,784.0,343.0,220.5,5,0.4,1,19.42
0.74,686.0,245.0,220.5,4,0.4,4,14.32
0.71,710.5,269.5,220.5,3,0.25,4,12.49
0.64,784.0,343.0,220.5,4,0.25,3,16.66
0.69,735.0,294.0,220.5,2,0.4,2,14.75
0.62,808.5,367.5,220.5,3,0.4,2,17.23
0.69,735.0,294.0,220.5,3,0.25,1,12.93
0.69,735.0,294.0,220.5,4,0.1,2,11.32
0.66,759.5,318.5,220.5,5,0.4,3,14.9
0.74,686.0,245.0,220.5,5,0.1,4,10.14
0.74,686.0,245.0,220.5,2,0.1,1,10.36
0.62,808.5,367.5,220.5,3,0.1,3,12.63
0.66,759.5,318.5,220.5,4,0.25,1,13.17
0.71,710.5,269.5,220.5,5,0.4,4,14.66
0.64,784.0,343.0,220.5,5,0.1,2,15.19
0.66,759.5,318.5,220.5,4,0.0,0,7.1
0.64,784.0,343.0,220.5,4,0.4,4,19.0
0.66,759.5,318.5,220.5,2,0.0,0,7.18
0.62,808.5,367.5,220.5,2,0.25,5,13.68
0.71,710.5,269.5,220.5,4,0.4,2,14.4
0.74,686.0,245.0,220.5,5,0.25,3,11.69
0.71,710.5,269.5,220.5,2,0.4,1,14.51
0.66,759.5,318.5,220.5,4,0.4,5,14.92
0.69,735.0,294.0,220.5,4,0.1,1,11.09
0.74,686.0,245.0,220.5,3,0.1,3,10.34
0.64,784.0,343.0,220.5,3,0.25,5,16.86
0.74,686.0,245.0,220.5,4,0.4,2,14.18
0.64,784.0,343.0,220.5,4,0.1,3,15.12
0.66,759.5,318.5,220.5,2,0.1,3,11.59
0.71,710.5,269.5,220.5,5,0.25,4,12.28
0.71,710.5,269.5,220.5,3,0.25,3,12.28
0.69,735.0,294.0,220.5,4,0.25,2,12.73
0.62,808.5,367.5,220.5,5,0.1,2,13.04
0.62,808.5,367.5,220.5,3,0.1,4,13.04
0.74,686.0,245.0,220.5,3,0.0,0,6.05
0.69,735.0,294.0,220.5,5,0.1,4,11.2
0.71,710.5,269.5,220.5,2,0.0,0,6.37
0.74,686.0,245.0,220.5,4,0.4,3,14.1
0.62,808.5,367.5,220.5,2,0.4,2,16.76
0.62,808.5,367.5,220.5,2,0.25,3,13.91
0.69,735.0,294.0,220.5,2,0.1,2,11.45
0.74,686.0,245.0,220.5,2,0.25,4,12.32
0.66,759.5,318.5,220.5,3,0.1,1,11.69
0.71,710.5,269.5,220.5,3,0.4,3,14.03
0.64,784.0,343.0,220.5,4,0.1,1,15.42
0.69,735.0,294.0,220.5,5,0.1,1,11.16
0.64,784.0,343.0,220.5,5,0.1,1,15.21
0.64,784.0,343.0,220.5,4,0.4,5,18.16
0.64,784.0,343.0,220.5,5,0.4,3,18.46
0.64,784.0,343.0,220.5,5,0.4,4,18.84
0.74,686.0,245.0,220.5,2,0.1,2,10.42
0.66,759.5,318.5,220.5,2,0.4,3,15.16
0.64,784.0,343.0,220.5,5,0.25,2,17.11
0.71,710.5,269.5,220.5,3,0.4,5,12.63
