Compactness,SurfaceArea,WallArea,RoofArea,Orientation,GlazingArea,GlazingDist,CoolLoad
0.9,563.5,318.5,122.5,5,0.1,4,29.92
0.79,637.0,343.0,147.0,3,0.25,5,36.66
0.9,563.5,318.5,122.5,5,0.0,0,29.6
0.82,612.5,318.5,147.0,5,0.4,2,32.92
0.79,637.0,343.0,147.0,4,0.4,1,38.35
0.98,514.5,294.0,110.25,5,0.25,3,30.19
0.9,563.5,318.5,122.5,2,0.1,5,29.82
0.76,661.5,416.5,122.5,4,0.1,4,33.89
0.9,563.5,318.5,122.5,5,0.1,3,29.67
0.82,612.5,318.5,147.0,2,0.1,1,27.31
0.76,661.5,416.5,122.5,2,0.4,2,39.48
0.82,612.5,318.5,147.0,5,0.4,1,33.54
0.79,637.0,343.0,147.0,5,0.25,3,36.87
0.76,661.5,416.5,122.5,5,0.25,4,37.51
0.98,514.5,294.0,110.25,4,0.1,4,26.18
0.79,637.0,343.0,147.0,3,0.4,3,44.18
0.86,588.0,294.0,147.0,3,0.4,4,36.2
0.76,661.5,416.5,122.5,3,0.4,5,39.8
0.79,637.0,343.0,147.0,2,0.4,5,38.56
0.98,514.5,294.0,110.25,2,0.1,1,26.47
0.9,563.5,318.5,122.5,5,0.4,1,40.99
0.82,612.5,318.5,147.0,3,0.1,5,24.77
0.79,637.0,343.0,147.0,4,0.1,1,34.43
0.76,661.5,416.5,122.5,4,0.1,2,34.17
0.9,563.5,318.5,122.5,2,0.4,2,38.35
0.79,637.0,343.0,147.0,2,0.1,1,41.68
0.79,637.0,343.0,147.0,3,0.4,2,39.41
0.86,588.0,294.0,147.0,3,0.4,2,30.53
0.82,612.5,318.5,147.0,5,0.25,2,29.88
0.98,514.5,294.0,110.25,3,0.25,5,29.77
0.98,514.5,294.0,110.25,3,0.25,3,29.78
0.98,514.5,294.0,110.25,3,0.1,4,25.72
0.86,588.0,294.0,147.0,2,0.25,4,29.45
0.79,637.0,343.0,147.0,2,0.25,5,37.54
0.82,612.5,318.5,147.0,3,0.4,5,29.56
0.98,514.5,294.0,110.25,3,0.1,1,26.37
0.86,588.0,294.0,147.0,5,0.1,5,31.28
0.9,563.5,318.5,122.5,3,0.25,2,32.64
0.82,612.5,318.5,147.0,2,0.1,2,27.38
0.79,637.0,343.0,147.0,4,0.1,4,41.86
0.76,661.5,416.5,122.5,5,0.25,1,36.62
0.79,637.0,343.0,147.0,3,0.1,2,34.62
0.86,588.0,294.0,147.0,2,0.1,5,25.82
0.76,661.5,416.5,122.5,3,0.4,1,40.85
0.9,563.5,318.5,122.5,2,0.25,3,36.35
0.98,514.5,294.0,110.25,5,0.1,2,25.89
0.79,637.0,343.0,147.0,4,0.25,4,44.16
0.9,563.5,318.5,122.5,4,0.1,2,29.36
0.79,637.0,343.0,147.0,2,0.25,4,36.26
0.9,563.5,318.5,122.5,2,0.0,0,28.28
0.76,661.5,416.5,122.5,3,0.1,5,34.35
0.79,637.0,343.0,147.0,4,0.4,4,46.23
0.79,637.0,343.0,147.0,5,0.1,2,42.86
0.76,661.5,416.5,122.5,4,0.4,5,37.79
