Compactness,SurfaceArea,WallArea,RoofArea,Orientation,GlazingArea,GlazingDist,HeatLoad
0.76,661.5,416.5,122.5,3,0.1,1,32.12
0.79,637.0,343.0,147.0,2,0.4,4,42.77
0.98,514.5,294.0,110.25,3,0.4,5,32.72
0.76,661.5,416.5,122.5,4,0.1,2,33.12
0.86,588.0,294.0,147.0,3,0.4,4,31.66
0.9,563.5,318.5,122.5,4,0.1,3,29.62
0.82,612.5,318.5,147.0,5,0.25,4,26.0
0.98,514.5,294.0,110.25,3,0.25,3,28.56
0.9,563.5,318.5,122.5,2,0.4,2,35.84
0.9,563.5,318.5,122.5,3,0.1,3,29.01
0.9,563.5,318.5,122.5,4,0.4,4,35.4
0.9,563.5,318.5,122.5,3,0.4,3,34.95
0.9,563.5,318.5,122.5,3,0.4,1,37.24
0.82,612.5,318.5,147.0,5,0.25,5,25.49
0.79,637.0,343.0,147.0,4,0.4,1,42.5
0.9,563.5,318.5,122.5,5,0.4,2,35.69
0.82,612.5,318.5,147.0,2,0.1,3,22.93
0.86,588.0,294.0,147.0,5,0.1,4,27.03
0.79,637.0,343.0,147.0,5,0.25,3,39.83
0.79,637.0,343.0,147.0,3,0.4,5,41.96
0.82,612.5,318.5,147.0,3,0.25,2,25.98
0.79,637.0,343.0,147.0,4,0.1,4,35.45
0.9,563.5,318.5,122.5,4,0.25,3,32.68
0.98,514.5,294.0,110.25,2,0.4,5,32.84
0.9,563.5,318.5,122.5,2,0.4,5,35.67
0.79,637.0,343.0,147.0,2,0.1,4,36.86
0.9,563.5,318.5,122.5,4,0.4,2,36.06
0.79,637.0,343.0,147.0,3,0.1,2,37.26
0.86,588.0,294.0,147.0,5,0.25,3,29.07
0.82,612.5,318.5,147.0,2,0.25,5,25.7
0.82,612.5,318.5,147.0,4,0.0,0,16.95
0.82,612.5,318.5,147.0,4,0.25,3,25.37
0.79,637.0,343.0,147.0,3,0.4,2,43.1
0.98,514.5,294.0,110.25,5,0.25,3,28.63
0.79,637.0,343.0,147.0,5,0.4,5,40.79
0.79,637.0,343.0,147.0,2,0.0,0,28.52
0.86,588.0,294.0,147.0,4,0.4,5,31.12
0.79,637.0,343.0,147.0,3,0.4,1,42.62
0.9,563.5,318.5,122.5,5,0.25,1,32.0
0.98,514.5,294.0,110.25,3,0.1,1,24.63
0.98,514.5,294.0,110.25,3,0.4,1,32.26
0.76,661.5,416.5,122.5,4,0.25,4,36.81
0.9,563.5,318.5,122.5,4,0.4,1,36.66
0.76,661.5,416.5,122.5,4,0.4,2,40.57
0.9,563.5,318.5,122.5,4,0.25,5,31.53
0.76,661.5,416.5,122.5,4,0.4,3,38.89
0.76,661.5,416.5,122.5,4,0.25,2,36.86
0.86,588.0,294.0,147.0,2,0.4,1,31.89
0.82,612.5,318.5,147.0,4,0.4,1,29.53
0.86,588.0,294.0,147.0,5,0.4,1,31.29
0.82,612.5,318.5,147.0,4,0.1,4,23.59
0.98,514.5,294.0,110.25,2,0.1,3,24.28
0.76,661.5,416.5,122.5,3,0.25,3,36.59
0.82,612.5,318.5,147.0,2,0.4,3,28.67
0.76,661.5,416.5,122.5,5,0.0,0,23.93
0.98,514.5,294.0,110.25,4,0.1,5,24.03
0.82,612.5,318.5,147.0,2,0.1,5,24.37
0.9,563.5,318.5,122.5,2,0.0,0,20.84
0.9,563.5,318.5,122.5,4,0.4,5,34.72
0.98,514.5,294.0,110.25,5,0.4,1,32.53
0.79,637.0,343.0,147.0,2,0.25,2,38.57
0.79,637.0,343.0,147.0,4,0.4,5,41.09
0.82,612.5,318.5,147.0,3,0.4,4,28.05
0.76,661.5,416.5,122.5,5,0.1,5,33.27
0.98,514.5,294.0,110.25,4,0.25,2,28.18
0.86,588.0,294.0,147.0,3,0.1,4,25.37
0.98,514.5,294.0,110.25,5,0.25,4,28.62
0.76,661.5,416.5,122.5,4,0.1,5,32.46
0.86,588.0,294.0,147.0,5,0.1,5,26.45
0.98,514.5,294.0,110.25,4,0.25,3,28.17
0.76,661.5,416.5,122.5,2,0.4,1,40.78
0.76,661.5,416.5,122.5,5,0.25,5,36.7
0.82,612.5,318.5,147.0,5,0.1,5,23.86
0.76,661.5,416.5,122.5,4,0.4,4,40.6
0.76,661.5,416.5,122.5,5,0.1,2,32.41
0.79,637.0,343.0,147.0,3,0.4,3,41.3
0.79,637.0,343.0,147.0,3,0.4,4,41.73
0.98,514.5,294.0,110.25,4,0.25,4,28.15
0.86,588.0,294.0,147.0,2,0.1,3,25.41
0.76,661.5,416.5,122.5,3,0.4,4,40.4
0.82,612.5,318.5,147.0,3,0.4,1,29.91
0.9,563.5,318.5,122.5,2,0.25,3,31.63
0.76,661.5,416.5,122.5,3,0.1,3,33.28
0.86,588.0,294.0,147.0,5,0.1,1,25.27
0.79,637.0,343.0,147.0,4,0.4,4,41.32
0.98,514.5,294.0,110.25,4,0.4,1,32.49
0.79,637.0,343.0,147.0,5,0.1,2,36.03
0.98,514.5,294.0,110.25,4,0.1,2,24.13
0.86,588.0,294.0,147.0,4,0.25,2,29.27
0.79,637.0,343.0,147.0,2,0.1,1,35.56
0.98,514.5,294.0,110.25,2,0.1,5,24.35
0.82,612.5,318.5,147.0,3,0.1,4,22.8
0.9,563.5,318.5,122.5,4,0.1,2,28.83
0.86,588.0,294.0,147.0,3,0.4,3,32.12
0.9,563.5,318.5,122.5,5,0.4,1,35.96
0.98,514.5,294.0,110.25,2,0.4,1,32.26
0.82,612.5,318.5,147.0,5,0.4,4,29.52
0.82,612.5,318.5,147.0,5,0.1,2,22.79
0.79,637.0,343.0,147.0,4,0.1,2,36.97
0.86,588.0,294.0,147.0,4,0.1,4,26.33
0.86,588.0,294.0,147.0,4,0.25,5,28.31
0.82,612.5,318.5,147.0,5,0.4,5,29.92
0.79,637.0,343.0,147.0,5,0.4,3,42.08
0.86,588.0,294.0,147.0,3,0.1,3,26.47
0.9,563.5,318.5,122.5,3,0.25,2,33.27
0.98,514.5,294.0,110.25,5,0.1,3,24.35
0.86,588.0,294.0,147.0,2,0.1,5,27.03
0.98,514.5,294.0,110.25,3,0.25,4,28.55
0.79,637.0,343.0,147.0,2,0.25,1,38.67
0.82,612.5,318.5,147.0,3,0.0,0,17.41
0.79,637.0,343.0,147.0,2,0.4,5,42.11
0.79,637.0,343.0,147.0,4,0.25,4,38.33
0.9,563.5,318.5,122.5,2,0.4,4,36.45
0.82,612.5,318.5,147.0,2,0.4,4,28.93
0.79,637.0,343.0,147.0,4,0.1,5,36.77
0.9,563.5,318.5,122.5,5,0.1,1,28.09
0.9,563.5,318.5,122.5,3,0.4,5,35.01
0.9,563.5,318.5,122.5,2,0.25,1,32.68
0.98,514.5,294.0,110.25,4,0.25,1,28.37
0.79,637.0,343.0,147.0,5,0.25,1,39.04
0.98,514.5,294.0,110.25,3,0.25,1,28.15
0.98,514.5,294.0,110.25,5,0.4,5,32.73
0.9,563.5,318.5,122.5,5,0.1,3,29.05
0.9,563.5,318.5,122.5,5,0.0,0,19.68
0.86,588.0,294.0,147.0,2,0.4,2,32.48
0.86,588.0,294.0,147.0,3,0.1,5,26.45
0.76,661.5,416.5,122.5,3,0.4,5,39.72
0.79,637.0,343.0,147.0,2,0.1,3,35.78
0.82,612.5,318.5,147.0,5,0.4,2,28.01
0.76,661.5,416.5,122.5,4,0.1,1,32.94
0.86,588.0,294.0,147.0,4,0.1,2,26.33
0.98,514.5,294.0,110.25,5,0.25,2,28.6
0.98,514.5,294.0,110.25,3,0.4,4,32.67
0.79,637.0,343.0,147.0,4,0.0,0,29.63
0.9,563.5,318.5,122.5,3,0.25,1,33.48
0.9,563.5,318.5,122.5,5,0.1,2,27.9
0.79,637.0,343.0,147.0,5,0.1,3,36.7
0.79,637.0,343.0,147.0,5,0.1,1,35.94
0.86,588.0,294.0,147.0,4,0.1,5,25.36
0.76,661.5,416.5,122.5,3,0.0,0,23.93
0.86,588.0,294.0,147.0,2,0.25,3,28.4
0.9,563.5,318.5,122.5,3,0.4,4,35.73
0.76,661.5,416.5,122.5,4,0.1,4,33.09
0.9,563.5,318.5,122.5,3,0.25,5,32.31
0.79,637.0,343.0,147.0,2,0.1,2,35.65
0.79,637.0,343.0,147.0,5,0.25,4,40.12
0.86,588.0,294.0,147.0,5,0.25,2,28.4
0.98,514.5,294.0,110.25,4,0.1,4,24.04
0.76,661.5,416.5,122.5,2,0.1,5,32.31
0.82,612.5,318.5,147.0,5,0.25,2,24.94
0.82,612.5,318.5,147.0,2,0.25,4,25.66
0.86,588.0,294.0,147.0,5,0.4,2,31.64
0.79,637.0,343.0,147.0,5,0.0,0,28.75
0.82,612.5,318.5,147.0,5,0.25,3,25.17
0.82,612.5,318.5,147.0,4,0.4,2,28.64
0.79,637.0,343.0,147.0,2,0.25,4,40.0
0.76,661.5,416.5,122.5,5,0.4,4,40.11
0.9,563.5,318.5,122.5,4,0.1,4,28.86
0.76,661.5,416.5,122.5,2,0.0,0,24.77
0.86,588.0,294.0,147.0,5,0.1,3,26.46
0.9,563.5,318.5,122.5,2,0.4,3,34.24
0.76,661.5,416.5,122.5,5,0.25,4,36.26
0.79,637.0,343.0,147.0,5,0.25,5,38.65
0.76,661.5,416.5,122.5,2,0.25,3,35.99
0.82,612.5,318.5,147.0,5,0.4,3,28.91
0.82,612.5,318.5,147.0,3,0.1,2,24.23
0.86,588.0,294.0,147.0,4,0.1,3,26.89
0.79,637.0,343.0,147.0,2,0.25,5,39.89
0.79,637.0,343.0,147.0,5,0.25,2,38.98
0.98,514.5,294.0,110.25,4,0.1,1,24.63
0.79,637.0,343.0,147.0,5,0.4,4,42.96
0.98,514.5,294.0,110.25,2,0.1,4,24.38
0.9,563.5,318.5,122.5,3,0.1,1,29.87
0.82,612.5,318.5,147.0,4,0.1,2,23.67
0.79,637.0,343.0,147.0,5,0.1,4,37.1
0.76,661.5,416.5,122.5,4,0.25,5,36.06
0.79,637.0,343.0,147.0,4,0.4,3,42.49
0.76,661.5,416.5,122.5,4,0.0,0,24.77
0.82,612.5,318.5,147.0,2,0.1,4,23.8
0.82,612.5,318.5,147.0,3,0.1,1,24.03
0.98,514.5,294.0,110.25,3,0.25,5,28.58
0.9,563.5,318.5,122.5,5,0.4,4,36.57
0.86,588.0,294.0,147.0,2,0.0,0,19.5
0.82,612.5,318.5,147.0,3,0.4,3,29.67
0.76,661.5,416.5,122.5,2,0.4,5,38.82
0.76,661.5,416.5,122.5,5,0.1,1,32.21
0.9,563.5,318.5,122.5,5,0.25,5,32.46
0.76,661.5,416.5,122.5,2,0.4,3,39.32
0.9,563.5,318.5,122.5,2,0.1,4,29.06
0.82,612.5,318.5,147.0,2,0.1,2,23.75
0.79,637.0,343.0,147.0,3,0.25,4,38.84
0.79,637.0,343.0,147.0,3,0.1,4,35.89
0.9,563.5,318.5,122.5,3,0.1,5,29.08
0.9,563.5,318.5,122.5,3,0.0,0,21.46
0.82,612.5,318.5,147.0,5,0.1,4,24.24
0.86,588.0,294.0,147.0,5,0.0,0,18.31
0.76,661.5,416.5,122.5,5,0.4,1,40.43
0.9,563.5,318.5,122.5,2,0.1,1,29.03
0.86,588.0,294.0,147.0,4,0.4,1,32.09
0.79,637.0,343.0,147.0,3,0.1,5,36.71
0.9,563.5,318.5,122.5,5,0.25,2,31.66
0.98,514.5,294.0,110.25,5,0.4,2,32.72
0.79,637.0,343.0,147.0,2,0.4,3,41.26
0.76,661.5,416.5,122.5,4,0.25,1,36.91
0.86,588.0,294.0,147.0,2,0.25,4,29.47
0.82,612.5,318.5,147.0,4,0.1,1,23.54
0.98,514.5,294.0,110.25,3,0.1,4,24.23
0.79,637.0,343.0,147.0,2,0.25,3,39.04
0.98,514.5,294.0,110.25,5,0.4,3,32.75
0.98,514.5,294.0,110.25,2,0.1,1,24.58
0.76,661.5,416.5,122.5,4,0.4,1,40.71
0.86,588.0,294.0,147.0,3,0.4,2,32.74
0.98,514.5,294.0,110.25,2,0.25,1,28.15
0.86,588.0,294.0,147.0,3,0.4,5,31.81
0.82,612.5,318.5,147.0,4,0.25,4,25.43
0.98,514.5,294.0,110.25,2,0.1,2,24.29
0.79,637.0,343.0,147.0,5,0.4,2,41.92
0.76,661.5,416.5,122.5,3,0.4,3,39.84
0.79,637.0,343.0,147.0,4,0.25,3,39.81
0.86,588.0,294.0,147.0,5,0.4,3,31.84
0.9,563.5,318.5,122.5,4,0.25,2,32.33
0.82,612.5,318.5,147.0,3,0.25,1,27.27
0.82,612.5,318.5,147.0,4,0.4,5,29.06
0.86,588.0,294.0,147.0,4,0.4,3,32.05
0.98,514.5,294.0,110.25,2,0.4,4,32.85
0.86,588.0,294.0,147.0,2,0.1,2,26.48
0.79,637.0,343.0,147.0,3,0.25,1,40.03
0.98,514.5,294.0,110.25,5,0.1,4,24.32
0.9,563.5,318.5,122.5,4,0.1,1,29.14
0.82,612.5,318.5,147.0,2,0.4,1,29.22
0.82,612.5,318.5,147.0,5,0.1,3,23.87
0.82,612.5,318.5,147.0,4,0.1,5,22.89
0.98,514.5,294.0,110.25,4,0.4,2,32.24
0.9,563.5,318.5,122.5,5,0.1,5,29.02
0.98,514.5,294.0,110.25,4,0.4,5,32.21
0.9,563.5,318.5,122.5,2,0.1,2,28.88
0.82,612.5,318.5,147.0,4,0.25,5,24.6
0.9,563.5,318.5,122.5,3,0.1,4,28.05
0.76,661.5,416.5,122.5,3,0.4,2,40.15
0.86,588.0,294.0,147.0,2,0.4,4,32.38
0.76,661.5,416.5,122.5,2,0.4,2,40.78
0.76,661.5,416.5,122.5,5,0.25,3,36.52
0.82,612.5,318.5,147.0,4,0.25,1,26.97
0.76,661.5,416.5,122.5,5,0.4,5,39.86
0.79,637.0,343.0,147.0,4,0.1,3,36.97
0.9,563.5,318.5,122.5,4,0.1,5,28.03
0.98,514.5,294.0,110.25,4,0.4,4,32.21
0.86,588.0,294.0,147.0,3,0.25,3,29.4
0.86,588.0,294.0,147.0,2,0.4,3,31.28
0.86,588.0,294.0,147.0,4,0.4,4,32.15
0.98,514.5,294.0,110.25,4,0.0,0,15.55
0.86,588.0,294.0,147.0,4,0.25,3,29.43
0.9,563.5,318.5,122.5,2,0.25,4,32.67
0.79,637.0,343.0,147.0,2,0.4,2,41.64
0.98,514.5,294.0,110.25,3,0.0,0,15.55
0.9,563.5,318.5,122.5,4,0.0,0,20.71
0.98,514.5,294.0,110.25,3,0.4,3,32.69
0.86,588.0,294.0,147.0,3,0.25,4,28.42
0.9,563.5,318.5,122.5,4,0.4,3,35.05
0.9,563.5,318.5,122.5,5,0.4,5,35.24
0.9,563.5,318.5,122.5,2,0.1,3,28.07
0.76,661.5,416.5,122.5,3,0.25,1,36.13
0.98,514.5,294.0,110.25,4,0.25,5,28.15
0.82,612.5,318.5,147.0,2,0.25,3,24.7
0.76,661.5,416.5,122.5,5,0.4,2,40.42
0.82,612.5,318.5,147.0,4,0.25,2,25.38
0.86,588.0,294.0,147.0,5,0.25,4,29.88
0.86,588.0,294.0,147.0,5,0.4,5,32.06
0.98,514.5,294.0,110.25,5,0.1,2,24.25
0.86,588.0,294.0,147.0,5,0.25,5,29.39
0.98,514.5,294.0,110.25,5,0.25,5,28.61
0.9,563.5,318.5,122.5,3,0.25,3,32.4
0.9,563.5,318.5,122.5,4,0.25,1,32.84
0.86,588.0,294.0,147.0,3,0.1,1,26.91
0.86,588.0,294.0,147.0,2,0.4,5,32.31
0.9,563.5,318.5,122.5,2,0.1,5,29.83
0.86,588.0,294.0,147.0,2,0.25,2,29.34
0.82,612.5,318.5,147.0,3,0.1,5,23.89
0.9,563.5,318.5,122.5,2,0.25,2,32.46
0.9,563.5,318.5,122.5,5,0.25,3,32.29
0.76,661.5,416.5,122.5,2,0.1,4,33.08
0.86,588.0,294.0,147.0,3,0.25,1,30.05
0.98,514.5,294.0,110.25,2,0.25,5,28.69
0.98,514.5,294.0,110.25,5,0.0,0,15.55
0.86,588.0,294.0,147.0,4,0.1,1,26.37
0.9,563.5,318.5,122.5,4,0.25,4,32.07
0.79,637.0,343.0,147.0,2,0.1,5,37.03
0.98,514.5,294.0,110.25,2,0.4,2,32.82
0.82,612.5,318.5,147.0,4,0.4,4,28.64
0.76,661.5,416.5,122.5,4,0.4,5,39.31
0.76,661.5,416.5,122.5,3,0.1,4,32.38
0.9,563.5,318.5,122.5,2,0.4,1,36.47
0.86,588.0,294.0,147.0,5,0.4,4,32.75
0.98,514.5,294.0,110.25,2,0.25,2,28.67
0.86,588.0,294.0,147.0,4,0.0,0,19.34
0.98,514.5,294.0,110.25,2,0.4,3,32.82
0.76,661.5,416.5,122.5,2,0.25,4,36.95
0.76,661.5,416.5,122.5,3,0.25,5,36.64
0.79,637.0,343.0,147.0,3,0.25,2,40.19
0.76,661.5,416.5,122.5,4,0.1,3,32.33
0.79,637.0,343.0,147.0,2,0.4,1,41.4
0.86,588.0,294.0,147.0,4,0.25,4,29.08
0.98,514.5,294.0,110.25,3,0.1,3,24.4
0.79,637.0,343.0,147.0,3,0.0,0,29.9
0.86,588.0,294.0,147.0,3,0.4,1,32.39
0.76,661.5,416.5,122.5,5,0.1,4,32.31
0.79,637.0,343.0,147.0,4,0.4,2,42.74
0.82,612.5,318.5,147.0,5,0.25,1,26.19
0.9,563.5,318.5,122.5,5,0.25,4,33.28
